MetaboliteID,UABT00017,UABT00018,UABT00019,UABT00020,UABT00021,UABT00022,UABT00023,UABT00024,UABT00025,UABT00026,UABT00027,UABT00028,UABT00029,UABT00030,UABT00031,UABT00032
M185,48826748,60839168,60719540,65259236,26017212,17812922,19532918,16435395,62896092,49919880,66917012,67052308,20089236,17056716,19044060,16216603
M186,10368468992,11982415872,14343657472,15459955712,3938841088,5271596032,4057924096,5131331072,15047669760,9187585024,12256627712,14546847744,11553326080,10604672000,12035647488,11836185600
M187,19858272,29529294,33498204,40489196,11148157,13766026,8397849,14496215,37529744,15005474,18662628,33448880,31298510,21888504,32541776,30205832
M188,NA,51292,48143,69387,99264,136632,101389,81735,112117,53463,45575,67173,99737,66954,174947,75959
M189,34947,42259,50239,66268,214986,211692,157813,167286,113761,28045,53472,91998,327564,249673,360151,336302
M190,1893056,2910792,3707319,1601488,1322019,1776142,737283,1669756,2154803,1211086,1451842,2799616,2223836,1540636,1728487,2445799
M191,NA,NA,NA,NA,37041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M192,NA,NA,318361,437762,NA,NA,NA,NA,432003,NA,278525,328708,NA,358336,268254,NA
M193,1114466,1201108,1248757,1497248,3867093,3658429,4018841,3864165,760114,NA,588277,NA,1188802,1048768,999539,1084648
M194,2065709,2272173,2463425,2081863,216691,206616,193546,225676,1619322,1014297,1245883,1324959,568252,599064,759231,626356
M195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326392
M196,430043,463010,275660,432911,128380,131122,146679,100632,393062,565398,275451,354211,536055,376606,437404,504485
M197,271397,223744,128683,255439,NA,93776,NA,NA,224805,144205,159821,178829,232164,215622,239414,161416
M198,1362622,1507705,1295654,1292389,255177,184672,346205,297879,1438878,1078315,991933,1260269,1132332,922589,1078335,1014166
M199,121126,57792,55045,81828,359634,235164,215384,239455,60688,NA,NA,NA,NA,NA,76213,NA
M200,3171271,3108784,4030828,2859019,375190,323210,468637,415078,3297006,2654309,2337622,2577611,4097614,3509247,3747334,3422420
M201,26678096,29985292,25592156,25567380,940790,703211,946352,895451,27431870,22503880,20376752,19463744,4393237,5016935,3729872,4413429
M202,9455081,8850194,7631725,8976566,4385084,3955073,5183100,5069255,9818380,8883611,9949751,9027163,3542646,3458070,3365444,2633710
M203,2985480,3061112,3098658,2964951,1691237,1347173,1348811,1203955,2430696,2216689,2546786,2129657,2647277,2417035,2522981,2546674
M204,1336877,1255312,1159831,1124246,889296,679492,892279,967006,982201,922499,948228,1150027,759306,779387,769675,676349
M205,NA,NA,NA,NA,205540,122826,125903,NA,NA,NA,NA,NA,NA,NA,NA,NA
M206,185821,162757,241302,199240,NA,NA,NA,NA,187354,134983,104985,129803,66771,49960,61731,51457
M207,327539,402289,471888,465774,574770,746036,559111,572826,345800,203541,292908,372411,405157,299639,333621,446533
M208,455991,418426,400316,373039,428544,351663,390689,390134,232060,215223,243161,232966,211537,217548,231128,195100
M209,39246428,37978632,47114588,55180460,34168452,38052988,28895384,34616184,53988856,34955984,36754360,44729576,43713076,41963248,53169304,45993892
M210,1101803,1294417,2560803,1371963,297722,838338,248054,368320,425174,272091,601112,2594493,NA,413427,473564,1458065
M211,NA,NA,281298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M213,674939,881185,957323,986536,1338512,1187350,1095693,1292937,1128030,806946,721367,876364,975106,1040791,1463576,1151659
M214,1034274,1812564,1286023,1713850,3455512,3787330,3655696,3690994,1084173,1196188,772427,1212093,1636051,1243595,1048673,1014558
M215,8435969,9273751,7513559,8312123,8248769,7766600,8816377,8494419,6847107,7491959,6200520,7292387,18961126,18001748,14832355,17014566
M216,96059296,82847056,86250384,86805824,26651600,29086436,29171416,29206120,87383288,83199016,77426960,86741488,91038528,82558288,82930368,75413560
M217,37053416,35329888,38028664,34706372,5972401,5002423,6142512,6512344,34346920,26515224,28864468,33277946,12882202,10735091,11956517,11707914
M218,3519015,3413774,3621889,3383403,405740,449735,447612,599690,3627813,3099460,2729274,3015686,2173626,1908365,2445285,2163625
M219,NA,248880,277453,288318,NA,NA,NA,NA,315514,660964,301823,NA,NA,NA,NA,NA
M220,6208368,4774119,4919946,5114450,5684664,4978555,4192168,4061576,5764137,4448676,4317795,5584016,5299204,4043335,5330284,5039200
M221,20023184,21578540,20907460,21233764,692910,500797,821957,552532,20197876,16545209,16261556,17578620,5654575,4202595,4056184,4058702
M222,9654881,9292631,10022267,8696844,439575,471856,465597,403308,9849810,7095970,6986253,8772942,4836266,4586945,4702699,4935068
M223,318825728,340667680,335632000,334837728,5506270,5464683,5920808,6625952,352745248,250101312,233514592,286542848,177691760,174137856,174217392,170530240
M224,843403840,948937856,885956608,928925632,28599424,24781288,32358632,33238890,974065280,720247360,689142272,784396160,332446144,324984224,305016064,309139680
M225,45299244,44521444,42891544,43832600,3754044,3574924,4445459,4337629,41448176,31395844,33334004,34657776,13997697,14518664,13595237,13081965
M226,9550526,8224305,13056155,8674780,1008031,860661,1110567,1152580,8238050,7145550,6333844,6474753,3735344,3779020,3740339,3503127
M227,3740007,3353040,5160662,3356929,2411174,1379147,1669089,1557114,2739432,2567846,2017131,2193768,1590331,1635495,1487875,1718110
M228,393139,464128,527019,366890,40600,NA,NA,37016,375376,324438,314548,260512,87953,68603,71877,65516
M229,448241,274977,342605,690525,966946,101949,110376,125841,202971,273784,238924,266170,323563,315818,129406,151496
M231,12315522,15420660,28422724,47651412,2854872,3253673,2056126,2812260,3963790,793622,1440874,3478150,2253198,1613357,3054348,2214630
M232,2345924,NA,NA,NA,NA,NA,NA,NA,9655238,NA,NA,NA,NA,NA,NA,NA
M233,34126764,581744,662668,339485,457579,355714,610797,413906,109895424,524613,1602527,478905,663064,424612,526203,611299
M234,65040112,776996,647983,552413,724759,656552,981771,991760,193944000,734007,2445713,602714,1039370,638003,709290,843289
M235,644241,NA,NA,NA,NA,NA,NA,NA,1890356,NA,NA,NA,NA,NA,NA,NA
M236,24392184,NA,NA,NA,341030,205203,399216,377411,98937416,NA,628321,NA,210507,NA,222233,285950
M239,6894835,NA,NA,NA,67457,NA,136631,117951,19286584,NA,325006,NA,192438,224545,198671,200636
M240,44767216,960499,425252,571668,580152,716171,891128,1079815,113653968,1487244,2434885,997325,1257583,579822,717685,1017643
M241,5061934,NA,NA,NA,NA,NA,NA,NA,13857254,NA,150469,NA,NA,NA,NA,NA
M242,6932008,2535763,2782475,4252834,1763204,2504702,1361865,2904849,8963844,3683223,3966688,5498856,3831880,2349617,1096101,2871284
M243,918824,795037,850089,781335,418018,399432,440216,420146,1197338,912433,807253,793307,1534102,1410908,1501794,1482870
M244,148739440,144778176,160788480,177451680,482012288,445422176,480284736,506514944,220183504,235696768,219347568,226154816,338369760,438197696,428523744,394185600
M245,1641286,1850080,1723294,1708896,1574389,1401144,1593716,1600690,2481157,2072529,1828274,1839603,2602455,2961758,2876235,2661011
M247,5389048,4537151,4881063,5402587,4027180,125485,4081598,4203090,5519864,6568356,6316063,6196421,7842308,8063605,7693796,9482106
M248,364885,600961,436187,505493,284197,287403,343018,306256,666053,546043,576798,769794,1973221,2381974,2211018,2341126
M249,2409655,1864597,1640064,2083840,486301,441326,520567,516837,1317472,2058537,1981547,2072084,3450433,2818087,3329387,3181289
M251,91964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53099,NA,NA,64150
M252,18384434,17251366,19084274,19595090,21077152,19653448,24050816,22563748,22408244,27843216,25520224,29433158,54118364,65977328,65861364,62022496
M253,6248539,6595217,6282092,7558026,4353054,4210896,4995562,4083962,8214944,8424788,8494147,9447021,12526836,15145228,14439373,14667554
M254,NA,NA,NA,NA,28632,NA,NA,NA,60420,NA,NA,NA,NA,NA,NA,NA
M255,333833,NA,NA,NA,NA,NA,NA,NA,927318,NA,NA,NA,NA,NA,NA,NA
M256,3123346,NA,NA,NA,NA,NA,NA,NA,6605417,NA,NA,NA,NA,NA,NA,NA
M257,1964016,NA,NA,NA,NA,NA,NA,NA,3878544,NA,NA,NA,NA,NA,NA,NA
M259,1574584,1815258,1442299,2464249,2514482,1681325,2271723,1893207,1727860,2131155,2068272,1487202,4720159,5471731,4240737,5681414
M261,323999,341717,570299,773403,122342,148687,96686,85898,594672,488293,431711,831203,1346611,1791205,1750647,2064171
M265,1822123136,1906775040,1877194880,1908995968,100351096,119803488,116895864,118103000,1842173440,1608590848,1581548288,1605021440,1133902976,1145540736,1142441600,1090691456
M266,3814812,3308797,3927147,3703438,4222626,1424885,4823980,4257835,2954071,3785288,4320099,4116499,2735214,2778830,2809278,2665071
M267,1723750528,1883404032,1811092608,1974785152,198164976,197761776,220132352,210339296,1745688192,1647257088,1646954496,1701368320,903994304,823396864,832653504,813407040
M268,NA,NA,1196928,1690079,2525103,2590672,2179737,2614385,12304682,10836134,11573456,13514424,4199038,4114132,3117852,3303507
M269,336769568,352759552,362440448,363475488,39751804,36802440,44077144,42722192,468717184,458311584,461019264,458512768,157124768,139271232,141190464,142784672
M270,4158929,4211641,4509249,4651121,57582292,57818844,61763836,62536632,2271623,2259863,2435357,2228536,663217,624939,695319,529595
M271,3708683,410328,1313340,5313598,20139856,657563,575196,973001,482856,2555028,727970,1027594,5541506,2031593,391288,1918528
M272,2563892,2408225,2160220,3168782,1639856,881206,665713,886748,8925557,5754081,5536530,10283998,2533688,2651234,2077413,2069188
M273,NA,NA,NA,NA,57245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M274,1345789,1860127,1011630,1447182,1430978,963601,1064605,NA,NA,NA,1839092,869554,1230808,NA,NA,NA
M275,122348552,119144816,148141424,118348880,796692,745447,966557,1298972,107676232,81803784,109512560,116867632,21746592,21968944,23849048,24524974
M276,132864,74297,NA,NA,263602,174473,NA,153223,415089,238255,69457,169904,173048,NA,NA,107464
M277,135738,NA,NA,NA,589074,417126,439187,493244,355442,209516,216006,223680,287947,311993,332665,316365
M278,575831,269395,201827,192512,170151,216445,208950,238812,1224465,253406,149401,218161,199968,62452,276363,217014
M279,2266583,2293329,2098143,2160064,703378,615888,700821,642779,10923422,11778424,12034479,10897871,5191988,4643955,4803099,4396195
M280,5618079,4483902,4749018,5111237,275754,286702,NA,419210,37136896,34570720,35895840,35098480,3737237,3146108,3035126,2739908
M281,13174107,NA,110439,NA,146795,115147,184574,179155,47377552,99212,556584,147253,190373,120029,148109,150224
M282,4909337,293137,328018,403142,437488,427025,607489,832430,16667095,367307,567836,392257,498173,612465,535793,380544
M283,NA,NA,NA,NA,NA,NA,NA,NA,386058,492939,275227,421195,NA,NA,267941,912909
M284,2368354,2340435,1064742,1834921,NA,NA,NA,NA,1647048,1409644,1455684,1233089,523279,348055,551625,326839
M285,866202560,850509504,923204096,799884672,186719712,204313392,192175920,208859504,868514368,712230464,863138560,767450368,329099200,333513376,385452256,309858464
M286,579367,583570,881704,1114363,NA,219575,153268,215949,1408653,1059017,1139668,1141813,2376293,2062212,2218996,2331598
M287,649833,577298,602001,719214,213666,254803,261730,237363,257015,166800,190491,220991,298859,266187,232081,213381
M288,5343555,5244761,4990516,5692761,1727924,1850944,2068591,1836638,3841864,3252703,2830757,2716181,8392014,7383644,7884939,6761074
M289,569535616,565261632,519334688,540867904,79853336,71475016,97452864,101417488,493705856,391565344,369860864,350880320,385144032,376833184,381260384,358236128
M290,1812272,799893,1279747,1682386,NA,NA,NA,NA,1432939,1016235,1170261,1100040,NA,NA,NA,NA
M291,965061,845574,1078680,1030113,NA,NA,NA,NA,742910,682480,797458,672983,394507,349521,413717,356958
M292,92475,119706,83531,109376,NA,NA,NA,NA,92740,93211,95923,89577,NA,NA,NA,NA
M293,19272004,23034960,21361132,22976098,7215702,8566175,8147457,7226797,24733036,18556472,23121700,23706184,13524114,15636100,12735542,13667483
M294,2254395,2065701,2700079,2569540,278601,232940,316133,320996,1815824,1050432,1478983,1323695,790823,809675,716175,688617
M295,255273680,247240304,314242592,274377696,120954872,113194696,105613856,111272272,280938656,226256720,315309984,279178720,245893104,226871856,227847648,221164032
M296,235309,246847,164535,240750,NA,58243,41760,NA,228349,216131,177012,192203,149148,129858,144105,131968
M297,1785799,1618319,1912381,1670073,397864,313735,327774,351729,1402624,1124460,1408401,1030042,881424,563691,549758,323547
M298,101648,104933,108701,108701,90046,36052,41097,NA,70977,70624,67072,70178,59359,47571,51020,39594
M299,263370,394599,323647,273733,1259949,1461063,1729418,1755356,112556,335673,NA,364890,NA,NA,280595,386396
M300,27710,28318,24549,23535,NA,NA,NA,NA,23600,23703,29324,21960,NA,NA,NA,NA
M301,234700,497431,301583,626086,NA,NA,NA,NA,NA,986905,720560,871782,291112,252277,NA,233986
M302,312037,398370,227206,399002,NA,NA,101137,NA,513488,360844,385171,368756,232073,153692,202597,189776
M303,54039,59729,182245,NA,NA,24126,NA,NA,NA,72229,54007,44607,65188,38886,53340,30185
M304,7116787,7191685,7130655,7868547,97547,102989,110334,75989,11524605,10919780,10645260,10356724,3713778,3298677,3361236,3373437
M305,5289606,5070253,5391347,5618314,2867912,3135657,3426657,3374087,4297703,3995345,3652689,3136578,4672817,4285936,4490235,4339487
M306,1127619,2426810,1994776,2740723,NA,NA,NA,NA,1192213,939711,968366,965044,543360,506573,492540,435896
M307,10322442,10971481,12195459,11856413,1115998,1156391,1134485,1150757,6832021,6496469,7244253,6577662,9386083,8321872,8746936,8298769
M308,178975,315319,261649,332569,NA,NA,NA,NA,134588,126171,124289,130340,68570,62716,69229,50606
M309,482597,439056,400845,487529,NA,NA,NA,NA,268277,235989,327696,290840,268973,176696,85243,NA
M310,32539072,31723702,31962748,32713120,14891481,12448761,16703815,16775523,18423216,18133118,18317492,17557796,24911584,20621632,22845704,24572264
M311,62615108,52407264,50584444,52914328,48878400,58487368,54795608,57665648,74435568,53369576,49655616,52709784,74074552,73456376,84642656,71486784
M314,746481472,758677184,757519360,822038144,97330856,101199000,107188544,101696704,731452480,613375424,639461248,627883072,484619840,473071616,474767808,454141952
M316,11709912,12268158,12095910,11758984,5333737,5083175,6082615,5229436,7644407,7252674,6245798,6473926,8397845,6497352,7518374,6376816
