Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC27828.1,114,145,144,126,111,125,45,35,108,160,165,45
EIC27829.1,125,177,155,177,185,166,72,93,100,172,190,38
EIC27830.1,92,113,76,112,80,102,59,54,75,97,102,18
EIC27831.1,198,263,329,379,330,337,259,261,475,341,449,160
EIC27832.1,15,12,15,37,34,14,5,11,14,26,20,2
EIC27833.1,15,26,25,29,29,22,12,8,23,21,29,5
EIC27834.1,1,9,4,14,5,9,5,6,9,7,6,1
EIC27835.1,137,180,182,286,183,209,93,135,250,205,306,98
EIC27836.1,56,51,33,61,61,61,36,40,60,71,38,22
EIC27837.1,115,265,97,152,69,339,38,56,85,127,209,50
EIC27838.1,158,229,198,238,179,243,46,63,101,201,226,28
EIC27839.1,105,138,144,131,116,144,66,51,101,161,156,41
EIC27840.1,128,224,190,203,145,216,86,92,150,194,226,33
EIC27841.1,276,359,351,366,303,383,126,133,278,400,419,69
EIC27842.1,135,201,179,200,156,197,68,114,151,209,215,52
EIC27843.1,171,241,269,238,176,225,152,185,209,229,257,72
EIC27844.1,28,46,34,51,33,41,13,16,20,41,46,13
EIC27845.1,184,382,239,258,164,427,99,160,188,210,248,71
EIC27846.1,176,281,210,243,186,327,171,199,271,202,229,94
EIC27847.1,175,297,245,299,239,356,147,200,212,254,346,31
EIC27848.1,463,622,600,915,691,631,339,412,532,737,1062,230
EIC27849.1,2518,3989,3128,3493,2685,3550,1961,2637,3011,3127,3900,911
EIC27850.1,1094,2035,1257,1440,1110,2186,544,743,958,1387,1497,242
EIC27851.1,72,153,82,143,89,172,40,46,58,79,102,14
EIC27852.1,6693,11485,6905,7695,5946,11638,4274,5619,6924,6792,7245,1939
EIC27853.1,3273,5645,3531,4058,2960,5684,1714,2153,2059,3216,3274,651
EIC27854.1,337,668,416,470,339,660,245,269,365,347,407,125
EIC27855.1,722,1191,817,882,550,1171,286,439,516,725,742,147
EIC27856.1,286,444,288,356,282,491,126,143,176,290,235,68
EIC27857.1,269,459,390,481,359,438,169,185,212,349,414,63
EIC27858.1,435,673,630,766,560,716,193,238,328,631,675,117
EIC27859.1,1115,1826,1477,1353,1161,1467,1141,1437,1869,1533,1459,568
EIC27860.1,567,815,630,862,742,921,203,252,387,735,759,133
EIC27861.1,70,86,59,91,49,105,71,88,99,80,87,34
EIC27862.1,94,111,116,137,111,135,46,46,91,148,128,32
EIC27863.1,126,189,185,218,179,231,58,57,96,184,198,37
EIC27864.1,122,220,202,192,147,227,111,86,149,188,219,25
EIC27865.1,45,52,42,41,35,59,35,34,47,49,58,16
EIC27866.1,145,211,163,213,133,196,88,143,181,177,230,60
EIC27867.1,102,146,120,129,115,147,56,75,80,130,98,33
EIC27868.1,27,62,40,57,32,73,45,31,41,43,57,19
EIC27869.1,3,4,3,3,7,3,1,7,3,5,5,2
EIC27870.1,689,895,782,879,700,774,724,854,1051,1024,1056,319
EIC27871.1,120,138,98,110,116,75,69,107,139,140,142,42
EIC27872.1,296,367,368,496,412,272,175,210,245,408,389,96
EIC27873.1,306,267,330,279,245,154,230,182,183,422,462,57
EIC27874.1,1910,2142,2930,2356,1999,1614,2311,2280,2492,3129,4152,670
EIC27875.1,1078,1148,1452,1123,972,1012,2088,1610,1809,1473,2155,453
EIC27876.1,1864,2046,2646,2388,1968,1599,1029,1370,1581,2820,3837,554
EIC27877.1,1629,1574,2412,2215,1638,937,765,1278,1384,2429,3284,374
EIC27878.1,408,473,593,618,504,387,195,268,407,671,905,99
EIC27879.1,2140,2434,2855,3247,2442,1949,660,1020,1511,3102,4285,498
EIC27880.1,675,812,837,836,714,574,443,621,768,944,1214,189
EIC27881.1,315,390,331,371,328,313,313,386,514,389,547,158
EIC27882.1,135,185,161,180,134,113,139,142,207,178,224,44
EIC27883.1,587,862,678,941,699,603,598,725,896,789,989,293
EIC27884.1,337,439,354,465,378,271,304,354,508,376,502,158
EIC27885.1,35,50,49,51,45,26,31,65,27,50,57,12
EIC27886.1,164,245,187,221,181,182,132,170,212,187,203,62
EIC27887.1,145,179,157,215,132,172,90,122,177,160,216,55
EIC27888.1,2,2,8,5,7,5,1,4,1,4,3,0
EIC27889.1,342,661,323,377,290,717,226,276,470,336,446,188
EIC27890.1,446,614,469,1416,1061,589,384,496,647,544,816,247
EIC27891.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC27892.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC27893.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC27894.1,273,330,308,387,310,286,194,234,263,310,365,73
EIC27895.1,173,223,151,180,140,179,154,185,243,198,236,44
EIC27896.1,136,240,163,206,163,196,159,191,249,161,216,69
EIC27897.1,957,1248,1188,1043,792,1031,1445,1656,2167,1307,1640,436
EIC27898.1,189,247,235,225,229,222,162,226,284,308,354,69
EIC27899.1,264,303,296,378,345,336,128,168,288,297,423,98
EIC27900.1,380,478,364,438,332,416,326,424,551,453,519,152
EIC27901.1,1232,1668,960,1447,972,1405,894,1132,1568,1000,1497,443
EIC27902.1,1997,3013,1666,2349,1613,2751,860,1115,1601,1789,2353,461
EIC27903.1,478,793,429,610,416,664,296,365,457,460,527,132
EIC27904.1,776,1303,769,899,659,1266,329,485,570,705,851,162
EIC27905.1,600,892,531,749,594,990,386,394,499,509,708,174
EIC27906.1,69,97,60,149,87,126,27,23,36,73,89,15
EIC27907.1,56,74,36,109,105,70,34,33,43,52,98,20
EIC27908.1,157,236,192,239,221,235,67,90,181,229,271,65
EIC27909.1,71,125,85,181,126,86,46,38,83,100,143,21
EIC27910.1,64,108,101,155,152,95,48,67,70,171,210,23
EIC27911.1,1317,1415,1687,1881,1617,1201,585,741,1286,2141,2938,467
EIC27912.1,1039,1323,1233,1272,1126,1169,947,1066,1573,1543,2047,469
EIC27913.1,53,66,99,101,69,50,66,65,132,132,218,72
EIC27914.1,71,94,130,117,109,69,46,56,140,128,239,73
EIC27915.1,55,48,81,68,71,34,44,39,74,98,137,32
EIC27916.1,280,285,333,430,337,172,145,209,337,452,573,112
EIC27917.1,541,644,575,938,776,616,228,267,490,768,1132,204
EIC27918.1,318,365,436,648,493,258,128,199,296,541,859,89
EIC27919.1,1156,1081,1597,2334,1585,525,795,1269,1394,2009,2912,483
EIC27920.1,2374,2139,2931,3744,3157,1485,765,1071,1953,3700,5228,705
EIC27921.1,2876,2682,3785,4414,3379,1856,780,1017,2167,4750,7298,741
EIC27922.1,331,315,348,412,308,197,135,229,218,411,516,77
EIC27923.1,1565,1669,2014,2112,1929,1206,637,767,1688,2484,3437,534
EIC27924.1,4240,4843,4861,5359,3857,3981,1801,2598,4464,5469,7520,1587
EIC27925.1,240,369,349,248,272,317,225,294,402,405,473,101
EIC27926.1,2025,2624,2580,3075,2320,2289,1173,1440,2535,2697,3568,864
EIC27927.1,544,549,595,753,608,412,262,339,532,690,923,153
EIC27928.1,1430,1582,1849,2177,1715,1445,807,913,1354,2171,2777,494
EIC27929.1,4132,4553,4753,6083,4707,4075,1446,1769,3801,6088,7762,1515
EIC27930.1,1179,1242,1332,1722,1275,1114,311,377,893,1441,2021,392
EIC27931.1,1041,1209,1274,1332,1110,1029,874,871,1278,1432,1974,437
EIC27932.1,386,450,588,618,489,345,143,153,369,569,789,158
EIC27933.1,1993,2094,2388,3135,2525,1565,669,866,1789,3245,3959,675
EIC27934.1,490,457,469,575,509,331,230,224,364,688,826,149
EIC27935.1,1213,1564,1644,1688,1399,1527,623,615,1088,1924,2395,406
EIC27936.1,1413,1981,1821,1513,1272,1988,1380,1088,1521,2126,2666,425
EIC27937.1,1176,1327,1496,2035,1593,1057,355,471,968,1697,2280,313
EIC27938.1,2593,3170,3788,3627,2567,3239,1226,1309,2342,3879,5721,1104
EIC27939.1,2300,2503,3010,3242,2287,2449,575,756,1425,3298,4571,714
EIC27940.1,2824,3135,3890,4243,3012,2978,1015,1263,2221,5193,8045,934
EIC27941.1,119,156,132,106,94,80,53,91,98,163,206,15
EIC27942.1,289,314,363,340,263,228,91,105,165,441,548,62
EIC27943.1,1755,2130,2362,2413,1695,1599,523,730,1162,3023,3978,481
EIC27944.1,318,457,346,477,371,382,192,199,330,465,640,109
EIC27945.1,1424,1838,1546,2086,1696,1961,716,790,1538,1927,2425,586
EIC27946.1,1928,2754,2201,2626,1933,2541,1041,1290,1548,2495,2984,501
EIC27947.1,913,1248,1100,1375,1097,1049,415,573,676,1249,1528,201
EIC27948.1,814,982,753,1031,760,653,568,842,1027,934,1476,301
EIC27949.1,173,322,211,283,227,414,80,100,203,219,296,53
EIC27950.1,198,315,258,295,213,424,131,154,222,254,300,69
EIC27951.1,380,755,436,566,457,678,291,476,642,540,682,181
EIC27952.1,32,29,22,34,24,21,19,16,33,25,29,20
EIC27953.1,52,55,54,114,85,59,15,23,32,128,124,13
EIC27954.1,344,428,518,1262,1004,729,148,176,293,1228,1438,247
EIC27955.1,2141,2582,2732,6056,4830,3925,1040,1146,2123,6844,7968,1451
EIC27956.1,453,487,569,862,733,726,226,252,391,1110,1207,186
EIC27957.1,283,269,440,668,521,383,244,216,314,933,1148,189
EIC27958.1,730,763,1123,1557,1337,851,421,533,646,2367,2655,292
EIC27959.1,2358,2601,3234,4742,3612,2609,858,1102,1895,5314,6417,722
EIC27960.1,2388,2443,3323,4669,3694,2308,729,890,1678,5529,6431,668
EIC27961.1,583,648,757,1334,1054,654,239,260,573,1492,1634,200
EIC27962.1,823,886,1167,1789,1422,856,415,444,1003,1866,2143,364
EIC27963.1,357,324,424,823,705,252,299,285,545,813,906,198
EIC27964.1,115,89,126,219,186,85,86,79,198,218,229,51
EIC27965.1,283,334,379,664,548,242,232,276,370,543,584,130
EIC27966.1,76,95,139,153,129,59,64,89,94,134,121,20
EIC27967.1,8,12,11,27,13,6,3,4,8,14,24,3
EIC27968.1,26,17,30,44,24,17,9,17,20,42,47,5
EIC27969.1,10,12,17,11,14,6,6,3,5,18,24,3
EIC27970.1,37,54,81,88,48,50,24,20,40,64,83,4
EIC27971.1,41,70,122,147,88,57,22,34,54,84,95,16
EIC27972.1,16,22,27,27,32,26,2,5,16,23,31,4
EIC27973.1,17,9,20,17,11,16,11,4,8,22,25,10
EIC27974.1,1,2,5,7,1,1,2,1,1,4,6,1
EIC27975.1,82,102,176,210,166,87,96,80,164,175,208,42
EIC27976.1,71,110,266,217,158,76,54,52,137,204,302,41
EIC27977.1,41,92,198,85,59,71,102,106,164,144,234,36
EIC27978.1,423,847,520,761,558,1437,197,274,361,573,835,168
EIC27979.1,245,445,275,493,409,752,144,174,249,276,467,86
EIC27980.1,1052,1395,1274,1666,1373,1326,510,653,972,1455,1955,276
EIC27981.1,65,76,97,105,87,91,45,67,84,130,134,25
EIC27982.1,511,646,720,714,628,736,232,256,664,1029,1342,185
EIC27983.1,395,613,478,522,381,760,176,201,332,583,771,126
EIC27984.1,178,226,201,262,219,227,111,89,201,251,304,72
EIC27985.1,1531,1597,1994,2829,2262,1343,1006,1405,1942,2316,4049,651
EIC27986.1,781,774,1083,1913,1619,783,484,596,1114,1300,2213,450
EIC27987.1,196,217,239,453,407,183,111,108,272,347,498,97
EIC27988.1,417,419,499,987,974,363,283,238,590,653,958,201
EIC27989.1,1263,1285,1554,2906,2551,1080,593,764,1497,1816,2735,530
EIC27990.1,565,695,752,1202,993,570,498,469,717,743,1237,297
EIC27991.1,1137,1269,1304,2145,1783,1161,610,723,1249,1468,2170,509
EIC27992.1,556,739,709,873,637,680,315,334,455,757,1003,168
EIC27993.1,234,346,381,445,388,336,126,148,286,412,584,84
EIC27994.1,1913,2242,2745,2685,2175,2136,872,980,1920,3047,3945,678
EIC27995.1,4994,7453,6492,6000,4814,6444,6298,7053,9406,6546,9637,2034
EIC27996.1,9402,9082,12575,12689,10112,5704,3082,4303,6440,14122,16893,2421
EIC27997.1,2176,2190,2979,3263,2512,1377,1034,1322,1873,3630,4199,660
EIC27998.1,372,521,493,897,739,512,348,411,592,646,808,226
EIC27999.1,3700,3746,4818,5027,4178,3134,1811,2237,4292,5776,7706,1385
EIC28000.1,786,766,1029,1156,932,607,511,594,918,1147,1581,327
EIC28001.1,1408,1538,2013,2237,1688,1396,601,669,1392,2215,2971,463
EIC28002.1,1289,1435,1783,1858,1543,1158,497,613,1132,2106,2734,373
EIC28003.1,382,634,394,543,355,796,154,243,319,455,521,122
EIC28004.1,763,1234,746,961,723,1189,409,574,844,876,1024,297
EIC28005.1,807,1408,860,972,789,1389,445,622,743,1021,1094,277
EIC28006.1,1321,2030,1304,1712,1308,1866,932,1212,1594,1523,1634,608
EIC28007.1,1340,1725,1591,1696,1393,1044,394,614,837,1837,2160,313
EIC28008.1,3041,3760,3645,3718,3031,2175,1239,1881,1909,3828,4624,556
EIC28009.1,2571,3227,2907,3184,2524,1997,1356,1998,2036,3150,3874,549
EIC28010.1,8278,10179,10636,9878,7929,6624,7315,9896,11071,10498,15027,2580
EIC28011.1,6259,8000,8009,8472,6280,5987,4298,5205,5549,8039,10293,1715
EIC28012.1,1128,947,1562,1501,1271,430,365,490,659,2050,2815,218
EIC28013.1,3818,4420,5865,5559,4338,3880,2255,2842,4728,6573,10942,1380
EIC28014.1,595,615,667,731,626,496,283,388,540,744,1034,179
EIC28015.1,2334,4364,2386,2845,2038,5956,822,1024,1597,2681,3448,650
EIC28016.1,405,737,471,550,478,1029,211,227,467,506,645,151
EIC28017.1,11,14,14,14,8,16,8,9,17,27,12,1
EIC28018.1,334,456,423,512,371,485,188,288,333,505,651,101
EIC28019.1,256,295,315,373,302,280,150,130,183,341,353,78
EIC28020.1,167,253,240,345,242,235,132,128,214,256,278,66
EIC28021.1,948,1168,1158,1208,975,988,643,704,957,1184,1295,359
EIC28022.1,161,157,165,180,177,106,135,188,271,239,287,65
EIC28023.1,150,149,187,364,261,126,62,93,213,166,291,89
EIC28024.1,84,81,91,236,210,87,48,72,157,124,195,50
EIC28025.1,291,371,424,553,422,372,227,192,624,486,719,139
EIC28026.1,307,336,358,532,450,264,180,153,456,450,561,115
EIC28027.1,560,776,717,974,791,831,298,324,490,782,951,176
EIC28028.1,606,872,731,958,694,650,446,516,750,822,971,257
EIC28029.1,2302,2973,2741,2853,2075,1875,1919,2458,3258,2455,3178,1032
EIC28030.1,669,818,760,817,608,511,714,808,1072,765,905,337
EIC28031.1,1217,1607,1491,1381,1167,909,1207,1381,1786,1531,1678,592
EIC28032.1,939,1192,1198,1659,1194,854,321,355,499,1150,1348,185
EIC28033.1,2690,3463,3849,5881,3919,3085,860,1070,1979,3881,5068,908
EIC28034.1,4939,7287,6626,8953,6896,8200,2430,2987,6190,7505,9838,2049
EIC28035.1,522,729,645,762,616,589,350,372,646,772,925,213
EIC28036.1,321,453,393,463,365,393,158,140,339,448,602,110
EIC28037.1,2726,3779,3228,3670,2869,3989,1188,1365,2653,3547,4865,954
EIC28038.1,2611,3590,3041,3447,2513,4263,1007,1125,2253,3296,4269,937
EIC28039.1,271,354,341,427,325,376,95,137,248,373,543,80
EIC28040.1,257,483,280,485,333,826,69,91,193,350,492,86
EIC28041.1,292,625,300,785,727,1087,208,225,311,411,636,175
EIC28042.1,493,668,603,931,775,766,239,270,537,689,857,196
EIC28043.1,826,1042,948,1282,1001,1303,452,464,885,1140,1364,329
EIC28044.1,545,792,733,973,768,885,442,564,801,789,1017,227
EIC28045.1,238,346,237,504,467,495,97,87,250,278,391,129
EIC28046.1,119,209,104,160,101,296,22,27,74,122,165,47
EIC28047.1,216,377,240,291,206,493,76,119,223,306,327,84
EIC28048.1,549,738,755,938,754,665,367,556,832,747,1186,252
EIC28049.1,989,1433,1313,1349,1046,1073,480,560,927,1473,1727,261
EIC28050.1,542,728,578,669,584,629,231,295,417,680,903,145
EIC28051.1,186,328,248,288,236,385,140,126,191,257,399,61
EIC28052.1,558,822,672,848,591,1189,219,232,494,785,951,153
EIC28053.1,734,1033,891,1017,811,1301,403,396,778,1119,1357,234
EIC28054.1,337,481,454,507,445,597,156,207,431,592,711,128
EIC28055.1,295,424,385,476,411,397,120,141,305,501,666,102
EIC28056.1,1358,1803,1701,2032,1642,2200,715,820,1844,2374,2776,628
EIC28057.1,673,727,929,951,850,648,319,311,589,1186,1511,200
EIC28058.1,176,139,216,584,508,97,67,83,165,295,365,55
EIC28059.1,690,810,856,885,751,819,450,531,916,1064,1223,244
EIC28060.1,12578,14144,16519,14117,11239,7566,13537,16880,16714,16018,19624,3447
EIC28061.1,825,779,997,1336,1198,507,269,374,616,1408,1523,218
EIC28062.1,465,454,591,824,623,280,176,216,364,730,806,116
EIC28063.1,1322,1429,1776,2351,1932,1429,697,838,1599,2136,2680,563
EIC28064.1,1386,1729,1711,2177,1500,1649,1127,1305,1670,1794,2363,509
EIC28065.1,885,959,891,805,654,801,754,893,1190,878,1102,337
EIC28066.1,193,296,198,163,136,264,114,137,247,161,153,61
EIC28067.1,102,120,111,43,42,91,49,69,97,39,43,21
EIC28068.1,642,847,787,700,589,732,642,856,1287,865,929,345
EIC28069.1,190,247,251,206,175,206,183,206,274,252,289,89
EIC28070.1,461,588,578,580,553,450,316,383,515,672,682,132
EIC28071.1,210,233,283,431,310,422,125,128,315,475,420,84
EIC28072.1,527,721,621,746,619,723,313,318,702,774,796,228
EIC28073.1,244,351,321,336,266,346,181,172,303,345,360,66
EIC28074.1,411,528,459,582,466,318,359,448,583,493,547,171
EIC28075.1,885,1054,1079,3584,3372,609,1202,2258,3924,2677,4116,2609
EIC28076.1,3197,4653,3051,3357,2769,3642,1912,2782,3352,3138,3909,972
EIC28077.1,1023,1644,969,1158,845,1112,755,1039,1717,991,1324,455
EIC28078.1,155,233,138,142,141,185,171,166,252,149,191,86
EIC28079.1,7382,10576,7123,8330,5807,7676,6012,8452,11906,6974,9567,3142
EIC28080.1,234,272,298,427,351,301,94,122,221,319,371,82
EIC28081.1,80,102,89,228,225,90,53,66,86,149,184,70
EIC28082.1,517,574,540,1932,1880,457,265,402,599,1366,1942,498
EIC28083.1,899,832,1142,6120,5575,886,1157,1751,2327,3957,6338,2594
EIC28084.1,1222,1737,1738,1885,1405,1624,713,962,1475,1954,2527,436
EIC28085.1,1346,1971,1252,1683,1287,1846,721,763,1182,1382,1891,425
EIC28086.1,251,231,264,351,301,253,116,150,310,328,315,89
EIC28087.1,969,1392,1135,1293,894,1155,715,814,1140,1082,1433,403
EIC28088.1,442,623,515,584,494,597,176,215,377,493,648,151
EIC28089.1,158,209,164,231,156,201,103,100,152,198,229,46
EIC28090.1,242,301,304,424,355,355,125,129,250,324,385,70
EIC28091.1,36,47,32,69,59,71,21,20,40,55,62,12
EIC28092.1,122,129,125,179,147,172,56,55,96,149,177,38
EIC28093.1,85,143,119,154,131,165,109,124,142,166,194,52
EIC28094.1,271,312,360,407,320,333,157,147,266,436,533,90
EIC28095.1,6119,7464,11593,9017,7325,7451,2381,3229,5882,12571,15920,2118
EIC28096.1,2236,2710,2708,3065,2315,2164,750,945,1827,3144,3504,578
EIC28097.1,642,770,812,939,813,650,226,253,571,910,1115,184
EIC28098.1,2889,3471,3936,4093,3276,2863,842,1117,2296,4165,5241,849
EIC28099.1,147,202,218,197,146,164,102,96,157,229,206,48
EIC28100.1,497,575,636,571,482,459,206,220,420,617,712,144
EIC28101.1,1428,1850,1842,1926,1581,1517,633,737,1646,1859,2290,491
EIC28102.1,1798,2396,2567,2333,1797,2373,991,1051,1823,2382,2944,587
EIC28103.1,1455,1713,1731,1954,1770,1587,844,1001,1957,2274,2758,516
EIC28104.1,465,545,582,637,542,541,374,362,606,749,915,228
EIC28105.1,359,443,423,487,415,425,228,255,360,515,644,128
EIC28106.1,497,606,666,690,573,484,380,408,539,647,882,185
EIC28107.1,788,1029,1065,1101,966,778,570,697,894,1196,1481,255
EIC28108.1,2096,2824,2593,2718,2057,2479,1539,1841,2193,2732,3406,685
EIC28109.1,2668,3609,3163,3192,2536,3338,3505,4304,4963,3715,5062,1399
EIC28110.1,3111,4035,3559,4102,2886,2908,1285,1938,1837,3677,4613,566
EIC28111.1,650,825,844,1214,958,652,192,268,469,1031,1224,188
EIC28112.1,808,885,1151,1887,1332,755,328,391,780,1340,1710,344
EIC28113.1,247,255,357,584,428,250,111,130,278,382,542,145
EIC28114.1,1530,1512,2040,3411,2736,1271,714,751,1725,2478,3160,652
EIC28115.1,738,686,969,2281,1669,508,322,351,808,1178,1549,439
EIC28116.1,1587,1800,2098,2095,1864,1693,937,1081,1776,2603,3332,687
EIC28117.1,8256,9956,10072,11544,8966,8040,2508,3347,6160,11809,13270,2078
EIC28118.1,1504,1722,1848,2559,2076,1466,595,616,1203,1954,2338,539
EIC28119.1,1154,1711,1293,1633,1471,2113,559,639,980,1489,1689,382
EIC28120.1,256,408,358,480,388,444,124,157,307,409,451,113
EIC28121.1,1292,1745,1571,2077,1667,1660,614,837,1459,1839,2180,434
EIC28122.1,1049,1446,1421,1882,1368,1701,538,518,1065,1500,1938,407
EIC28123.1,427,612,537,635,593,615,233,271,650,736,781,188
EIC28124.1,1143,1051,1617,2120,1558,697,443,569,1096,1953,2450,319
EIC28125.1,606,596,836,922,723,391,231,298,515,998,1265,172
EIC28126.1,704,675,987,1088,957,411,304,313,662,1183,1572,217
EIC28127.1,1659,1615,2300,2682,2221,968,753,1030,1710,2683,3229,540
EIC28128.1,892,816,1318,1607,1167,625,553,550,1045,1319,1723,382
EIC28129.1,1682,1669,2208,2370,2111,1127,1153,1401,2642,2892,3320,725
EIC28130.1,1170,1295,1523,1391,1240,1045,737,708,1377,1832,2268,452
EIC28131.1,10031,8557,14243,13845,11452,4569,4430,5699,10909,18164,21716,3386
EIC28132.1,1483,1340,2367,3165,2626,856,2570,2867,3823,2817,3986,1120
EIC28133.1,278,379,456,529,457,417,284,328,497,508,609,138
EIC28134.1,8110,10774,10716,12014,9351,10678,4317,5073,7926,12101,13733,2870
EIC28135.1,1254,1891,1522,1482,1243,1357,1046,1569,1984,1746,2102,391
EIC28136.1,462,702,447,616,475,959,288,276,463,612,769,169
EIC28137.1,1170,2054,1200,1575,1126,2698,483,677,1141,1377,2022,512
EIC28138.1,984,1280,1156,1674,1479,1391,501,618,1127,1454,1706,389
EIC28139.1,1336,1675,1722,2752,2427,1839,460,585,1353,1975,2466,491
EIC28140.1,1191,1390,1415,2341,2119,1304,408,497,1097,1841,2219,379
EIC28141.1,192,254,235,386,326,228,127,138,225,295,321,74
EIC28142.1,1282,1556,1501,2286,1964,1389,623,672,1221,1728,1899,439
EIC28143.1,1401,1878,1775,2455,2009,1856,462,557,1137,1957,2131,393
EIC28144.1,15936,15294,23515,21784,16696,9597,5597,8088,12517,25862,34427,3761
EIC28145.1,14152,14419,19815,19564,14105,9371,5081,8230,12387,21137,29915,3907
EIC28146.1,427,638,582,1053,810,663,183,258,425,659,821,173
EIC28147.1,418,564,554,702,580,599,513,518,693,630,783,261
EIC28148.1,135,151,173,294,254,134,167,137,191,209,293,61
EIC28149.1,147,171,173,570,508,112,88,119,176,273,367,75
EIC28150.1,31,30,45,74,69,20,21,37,48,68,57,11
EIC28151.1,172,182,248,381,345,78,133,167,192,354,332,48
EIC28152.1,172,182,235,513,507,143,103,111,169,359,386,83
EIC28153.1,190,257,297,555,502,240,72,106,204,426,374,85
EIC28154.1,523,763,633,741,590,671,379,431,617,689,803,170
EIC28155.1,471,643,558,786,569,475,258,351,501,595,593,153
EIC28156.1,1120,1455,1494,2021,1580,1355,1077,1163,1518,1632,2017,615
EIC28157.1,320,446,439,662,539,516,233,314,375,457,569,143
EIC28158.1,296,272,317,1163,964,265,140,108,270,390,490,137
EIC28159.1,379,534,485,699,499,520,187,195,473,565,676,176
EIC28160.1,540,711,994,899,674,722,256,290,537,899,1071,181
EIC28161.1,2785,4345,3331,3723,2713,4656,868,1034,1950,3449,3760,684
EIC28162.1,1387,1811,1705,2074,1639,1748,555,591,1255,2114,2418,495
EIC28163.1,3162,3909,3557,3527,2991,3875,1060,980,2395,3820,4276,930
EIC28164.1,6537,8687,7711,7968,5984,6399,1530,2129,4090,8167,9289,1650
EIC28165.1,3476,4787,4011,4171,3027,3409,1600,2048,2912,4134,4384,971
EIC28166.1,2676,3272,3262,3863,2918,2603,1095,1594,2638,3529,4391,859
EIC28167.1,960,1230,1195,1348,1088,996,624,806,1071,1478,1712,385
EIC28168.1,247,256,321,1950,1596,208,139,155,384,440,624,224
EIC28169.1,232,200,260,1372,1207,139,147,190,298,347,455,139
EIC28170.1,47,41,42,190,144,42,21,29,43,59,50,28
EIC28171.1,259,261,299,1172,973,237,125,154,277,284,396,115
EIC28172.1,54,80,50,60,71,56,38,57,90,70,63,13
EIC28173.1,74,88,81,81,74,67,44,61,104,101,66,13
EIC28174.1,289,306,328,434,386,324,91,132,225,369,309,81
EIC28175.1,8,3,6,14,4,6,4,6,11,6,12,1
EIC28176.1,185,267,226,346,218,234,101,94,170,263,241,59
EIC28177.1,24,29,25,56,27,39,5,8,16,25,22,5
EIC28178.1,26,44,40,73,58,42,9,13,20,51,44,9
EIC28179.1,46,67,65,103,61,65,4,12,27,67,38,17
EIC28180.1,23,29,30,56,42,30,6,11,9,30,20,7
EIC28181.1,23,38,34,56,40,37,8,7,14,37,25,3
EIC28182.1,76,79,82,141,95,109,10,13,28,71,46,15
EIC28183.1,132,174,131,267,224,195,29,68,87,151,111,28
EIC28184.1,29,45,49,95,84,52,22,26,29,43,23,8
EIC28185.1,89,77,67,266,216,88,29,26,63,90,91,27
EIC28186.1,101,69,109,724,611,61,46,37,96,119,163,51
EIC28187.1,165,128,207,1444,1171,128,90,116,211,235,371,93
EIC28188.1,84,117,120,144,122,130,28,47,84,96,136,29
EIC28189.1,34,33,44,63,57,38,11,17,23,59,36,9
EIC28190.1,60,79,65,189,166,79,32,29,70,92,87,22
EIC28191.1,65,97,93,143,119,108,36,43,72,82,82,34
EIC28192.1,3,5,8,12,11,10,6,5,13,8,7,2
EIC28193.1,117,178,111,127,124,155,79,103,125,117,107,33
EIC28194.1,44,45,40,70,55,66,13,18,41,42,47,12
EIC28195.1,44,67,41,64,61,80,12,14,34,36,27,8
EIC28196.1,77,123,102,130,102,125,46,72,81,75,82,32
EIC28197.1,323,334,375,829,709,288,97,140,256,459,460,94
EIC28198.1,147,129,160,485,404,95,59,100,179,245,245,75
EIC28199.1,47,37,76,301,219,35,55,56,103,53,102,31
EIC28200.1,239,222,264,1060,921,183,157,174,336,311,426,123
EIC28201.1,158,183,177,483,413,188,97,92,172,169,198,62
EIC28202.1,100,181,104,184,176,165,58,65,100,148,142,38
EIC28203.1,122,192,150,263,182,225,46,62,130,166,156,33
EIC28204.1,145,174,155,191,179,204,70,72,134,132,166,46
EIC28205.1,165,238,189,261,194,174,161,230,263,202,225,86
EIC28206.1,993,1344,1152,1234,1033,901,595,934,1037,1239,1282,232
EIC28207.1,1788,2880,2256,2499,1834,2321,1523,2104,2361,2087,2653,566
EIC28208.1,644,690,843,992,814,691,304,359,744,1049,1151,275
EIC28209.1,715,816,784,930,727,768,511,616,813,1051,1042,248
EIC28210.1,1675,2185,2184,3462,2670,2310,959,1266,1740,4520,4508,876
EIC28211.1,1991,2139,2298,3890,3314,2429,762,1183,1613,5750,5100,652
EIC28212.1,4899,3060,8853,2922,4231,230,606,967,1476,1316,1130,55
EIC28213.1,2841,1647,3898,1753,2476,140,112,186,473,854,653,42
EIC28214.1,1098,717,1425,607,886,97,67,99,229,420,335,21
EIC28215.1,702,603,867,586,576,351,121,134,301,450,426,57
EIC28216.1,799,1241,1043,1296,1012,1371,320,438,666,1084,1251,190
EIC28217.1,176,178,248,248,245,171,36,62,132,197,139,35
EIC28218.1,1434,1960,1772,2671,2077,2011,345,495,1037,2064,2210,343
EIC28219.1,2489,3263,3090,4962,3571,3367,801,1070,1926,3570,4300,781
