Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC29200.1,16136,15511,23367,24816,18726,12428,5924,8187,16044,27579,32712,4869
EIC29201.1,2423,3405,2748,3354,2623,3129,1010,1264,2123,3302,3370,615
EIC29202.1,983,1252,1217,1239,1018,1120,607,638,935,1333,1304,315
EIC29203.1,2882,3760,3415,5346,3996,2982,701,1043,1930,3764,4329,628
EIC29204.1,8178,11404,12471,17060,10753,10641,4269,5145,7191,11818,13694,2911
EIC29205.1,3872,4660,5421,5964,4869,3721,2046,2554,3414,5871,6563,1060
EIC29206.1,859,925,1097,1287,1230,671,497,546,867,1491,1439,246
EIC29207.1,5927,6262,8068,8742,6953,4455,3016,4103,5694,9473,10615,1657
EIC29208.1,1087,1192,1499,1565,1164,692,1012,1287,1845,1589,1781,460
EIC29209.1,472,498,667,733,536,306,379,490,699,632,688,189
EIC29210.1,324,359,408,465,403,240,307,373,501,482,536,162
EIC29211.1,1616,1682,1998,2322,1905,1050,858,1122,1803,2580,2803,482
EIC29212.1,6274,5849,8623,12238,9432,4811,2280,3087,6854,12775,16663,2253
EIC29213.1,565,497,668,794,630,324,331,342,422,911,1167,127
EIC29214.1,1663,1497,2371,2679,1920,949,467,683,1049,2828,3277,323
EIC29215.1,1080,1042,1474,1515,1118,515,475,756,764,1704,2030,228
EIC29216.1,734,744,915,1117,870,396,491,633,644,1079,1078,185
EIC29217.1,50,75,81,93,94,48,29,33,61,96,67,21
EIC29218.1,107,114,134,171,111,155,45,49,76,130,130,26
EIC29219.1,80,117,92,136,90,149,40,44,99,93,107,29
EIC29220.1,104,155,137,160,126,181,42,40,73,151,169,32
EIC29221.1,175,239,170,271,165,233,75,106,175,226,212,47
EIC29222.1,393,558,539,527,421,536,318,375,468,557,586,97
EIC29223.1,117,177,129,149,153,175,79,78,149,202,200,39
EIC29224.1,1129,1708,1405,1775,1367,1612,346,369,714,1682,1644,253
EIC29225.1,1712,2228,2011,2354,2089,1849,707,881,1401,2497,2255,473
EIC29226.1,1942,2485,2485,2755,2297,2052,864,1152,1642,3079,3323,544
EIC29227.1,1151,1315,1350,1654,1358,1040,698,803,1100,1590,1819,391
EIC29228.1,2594,2978,2928,4302,3820,2719,1189,1423,2615,4195,4400,1013
EIC29229.1,1865,2315,2578,3557,2872,2223,813,997,1985,3045,3348,688
EIC29230.1,867,1082,1283,1444,1126,773,499,521,922,1345,1469,276
EIC29231.1,1684,2078,2358,2376,1873,1702,665,847,1252,2249,2609,434
